Rank,Country,Proven_reserves,Production ,Consumption ,Exports ,Imports 
159,Macedonia,0,0.0,17490.0,0.0,51510.0
160,Mali,0,0.0,4994.0,0.0,0.0
161,Mauritius,0,0.0,24710.0,0.0,0.0
162,Malta,0,0.0,19520.0,0.0,0.0
163,Maldives,0,0.0,6875.0,0.0,0.0
164,Mozambique,0,20.0,19580.0,0.0,0.0
165,New Caledonia,0,0.0,13640.0,0.0,0.0
166,Niue,0,0.0,0.0,0.0,0.0
167,Vanuatu,0,0.0,1170.0,0.0,0.0
168,Nepal,0,0.0,18430.0,0.0,0.0
169,Nauru,0,0.0,1000.0,0.0,0.0
170,Nicaragua,0,0.0,30690.0,0.0,12910.0
171,Paraguay,0,2000.0,26820.0,0.0,0.0
172,Panama,0,0.0,98890.0,0.0,0.0
173,Portugal,0,5250.0,259700.0,0.0,222300.0
174,Guinea-Bissau,0,0.0,2922.0,0.0,0.0
175,Puerto Rico,0,674.0,151600.0,0.0,0.0
176,Rwanda,0,10.0,5245.0,0.0,0.0
177,Saint Pierre and Miquelon,0,0.0,974.0,0.0,0.0
178,Saint Kitts and Nevis,0,0.0,1496.0,0.0,0.0
179,Seychelles,0,0.0,7793.0,0.0,0.0
180,Senegal,0,0.0,40600.0,0.0,15500.0
181,Saint Helena,0,0.0,100.0,0.0,0.0
182,Slovenia,0,305.0,52930.0,0.0,0.0
183,Sierra Leone,0,25.0,8768.0,0.0,0.0
184,Singapore,0,20170.0,1380000.0,0.0,1137000.0
185,Somalia,0,0.0,5659.0,0.0,0.0
186,Saint Lucia,0,0.0,2922.0,0.0,0.0
187,Sweden,0,11270.0,316000.0,0.0,398100.0
188,Switzerland,0,3613.0,258200.0,0.0,258200.0
189,Turks and Caicos Islands,0,0.0,999.0,0.0,0.0
—,Tokelau,0,,,,
190,Tonga,0,0.0,1221.0,0.0,0.0
191,Togo,0,0.0,28670.0,0.0,0.0
192,Sao Tome and Principe,0,0.0,904.0,0.0,0.0
193,Timor-Leste,0,79490.0,2755.0,87000.0,0.0
194,Tanzania,0,10.0,43310.0,0.0,0.0
195,Burkina Faso,0,0.0,9960.0,0.0,0.0
196,Uruguay,0,1183.0,51100.0,0.0,38680.0
197,Saint Vincent and the Grenadines,0,0.0,1948.0,0.0,0.0
198,British Virgin Islands,0,0.0,1000.0,0.0,0.0
199,U.S. Virgin Islands,0,14880.0,106100.0,0.0,402000.0
200,Namibia,0,0.0,22990.0,0.0,0.0
201,West Bank,0,0.0,29310.0,0.0,0.0
202,Western Sahara,0,0.0,1948.0,0.0,0.0
203,Samoa,0,0.0,1070.0,0.0,0.0
204,Swaziland,0,0.0,4567.0,0.0,0.0
205,Zambia,0,175.0,19260.0,0.0,12500.0
206,Zimbabwe,0,120.0,19030.0,0.0,0.0
